PERMNO,date,vwretd
10107,1993-03-03,0.004878
10107,1993-03-04,-0.003630
10107,1993-03-05,-0.001313
10107,1993-03-08,0.015258
10107,1993-03-09,0.000977
10107,1993-03-10,0.004807
10107,1993-03-11,-0.003393
10107,1993-03-12,-0.007092
10107,1993-03-15,0.003220
10107,1993-03-16,-0.000366
10107,1993-03-17,-0.006793
10107,1993-03-18,0.006452
10107,1993-03-19,-0.004361
10107,1993-03-22,-0.004087
10107,1993-03-23,-0.000550
10107,1993-03-24,-0.001474
10107,1993-03-25,0.006459
10107,1993-03-26,-0.003674
10107,1993-03-29,0.004251
10107,1993-03-30,0.003776
10107,1993-03-31,0.001576
10107,1993-04-01,-0.003257
10107,1993-04-02,-0.019036
10107,1993-04-05,0.001157
10107,1993-04-06,-0.004066
10107,1993-04-07,0.003148
10107,1993-04-08,-0.002071
10107,1993-04-12,0.012213
10107,1993-04-13,0.003381
10107,1993-04-14,-0.000281
10107,1993-04-15,-0.001545
10107,1993-04-16,0.000319
10107,1993-04-19,-0.003324
10107,1993-04-20,-0.004922
10107,1993-04-21,-0.001578
10107,1993-04-22,-0.006802
10107,1993-04-23,-0.005138
10107,1993-04-26,-0.009565
10107,1993-04-27,0.008341
10107,1993-04-28,0.001648
10107,1993-04-29,0.002206
10107,1993-04-30,0.003898
10107,1993-05-03,0.005280
10107,1993-05-04,0.005628
10107,1993-05-05,0.003117
10107,1993-05-06,-0.002661
10107,1993-05-07,-0.001224
10107,1993-05-10,0.001909
10107,1993-05-11,0.003054
10107,1993-05-12,0.000346
10107,1993-05-13,-0.010594
10107,1993-05-14,-0.000201
10107,1993-05-17,0.001101
10107,1993-05-18,0.000828
10107,1993-05-19,0.013576
10107,1993-05-20,0.006614
10107,1993-05-21,-0.007490
10107,1993-05-24,0.002864
10107,1993-05-25,0.002933
10107,1993-05-26,0.009680
10107,1993-05-27,-0.001434
10107,1993-05-28,-0.003797
10107,1993-06-01,0.007014
10107,1993-06-02,0.000655
10107,1993-06-03,-0.001821
10107,1993-06-04,-0.005294
10107,1993-06-07,-0.006375
10107,1993-06-08,-0.007302
10107,1993-06-09,0.002752
10107,1993-06-10,-0.000952
10107,1993-06-11,0.003408
10107,1993-06-14,0.001398
10107,1993-06-15,-0.001233
10107,1993-06-16,0.001551
10107,1993-06-17,0.002253
10107,1993-06-18,-0.008590
10107,1993-06-21,0.003790
10107,1993-06-22,-0.000727
10107,1993-06-23,-0.004067
10107,1993-06-24,0.006704
10107,1993-06-25,0.003476
10107,1993-06-28,0.009658
10107,1993-06-29,-0.001965
10107,1993-06-30,0.001342
10107,1993-07-01,-0.001565
10107,1993-07-02,-0.004339
10107,1993-07-06,-0.007339
10107,1993-07-07,0.001197
10107,1993-07-08,0.009441
10107,1993-07-09,0.000738
10107,1993-07-12,0.001868
10107,1993-07-13,-0.000401
10107,1993-07-14,0.003847
10107,1993-07-15,-0.001977
10107,1993-07-16,-0.006795
10107,1993-07-19,-0.001340
10107,1993-07-20,0.002477
10107,1993-07-21,-0.000773
10107,1993-07-22,-0.005532
